Transaction Date,Customer ID,Description,Stock Code,Invoice No,Quantity,Sales,Unit Price
2020-12-01 14:03:00,15165,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536539.0,1.0,76.5,76.5
2020-12-01 14:11:00,,Dog And Puppy Pads,85123A,536542.0,6.0,,17.7
2020-12-01 14:11:00,16456,Earth Rated Dog Poop Bags,85099B,536542.0,7.0,81.9,11.7
2020-12-01 14:11:00,16456,Milk-Bone Marosnacks Dog Treats With Real Bone,22386,536542.0,5.0,58.5,11.7
2020-12-01 14:32:00,,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536544.0,1.0,50.82,50.82
2020-12-01 14:32:00,,Dog And Puppy Pads,85123A,536544.0,1.0,35.46,35.46
2020-12-01 14:32:00,,Earth Rated Dog Poop Bags,85099B,536544.0,1.0,25.26,25.26
2020-12-01 14:32:00,,,22086,536544.0,6.0,212.76,35.46
2020-12-01 14:32:00,,Probiotic Supplements For Dogs,,536544.0,1.0,61.02,
2020-12-01 14:32:00,,Rechargeable Pet Nail Grinder,22960,536544.0,2.0,101.64,50.82
2020-12-01 14:32:00,,Sheba Perfect Portions Pat Wet Cat Food,22197,536544.0,1.0,9.96,9.96
2020-12-01 14:32:00,,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536544.0,7.0,534.24,76.32
2020-12-01 14:41:00,17841,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536557.0,1.0,23.7,23.7
2020-12-01 14:41:00,17841,Nexgard Chew For Dogs,82484,536557.0,1.0,38.7,38.7
2020-12-01 14:41:00,17841,Probiotic Supplements For Dogs,79321,536557.0,4.0,102.0,25.5
2020-12-01 15:00:00,13093,,79321,536560.0,8.0,204.0,25.5
2020-12-01 15:00:00,13093,Rechargeable Pet Nail Grinder,22960,536560.0,2.0,45.0,22.5
2020-12-01 15:08:00,13468,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536562.0,1.0,76.5,76.5
2020-12-01 15:35:00,16274,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536569.0,1.0,17.7,17.7
2020-12-01 16:01:00,13777,Dog And Puppy Pads,85123A,536575.0,22.0,336.6,15.3
2020-12-01 16:11:00,13777,Dog And Puppy Pads,85123A,536576.0,22.0,336.6,15.3
2020-12-01 16:11:00,13777,Earth Rated Dog Poop Bags,85099B,536576.0,5.0,49.5,9.9
2020-12-01 16:13:00,13777,Pet Grooming Brush,20725,536577.0,10.0,87.0,8.7
2020-12-01 16:19:00,13777,Earth Rated Dog Poop Bags,85099B,536581.0,34.0,336.6,9.9
2020-12-01 16:33:00,14142,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536587.0,1.0,23.7,23.7
2020-12-01 16:49:00,17069,,22960,536588.0,1.0,25.5,
2020-12-01 16:52:00,13065,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536590.0,1.0,23.7,23.7
2020-12-01 16:52:00,13065,Dog And Puppy Pads,85123A,,1.0,17.7,17.7
2020-12-01 16:57:00,14606,Milk-Bone Marosnacks Dog Treats With Real Bone,22386,536591.0,1.0,11.7,11.7
2020-12-01 17:06:00,,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536592.0,1.0,50.82,50.82
2020-12-01 17:06:00,,Dog And Puppy Pads,85123A,536592.0,2.0,70.92,35.46
2020-12-01 17:06:00,,Earth Rated Dog Poop Bags,85099B,536592.0,1.0,25.26,25.26
2020-12-01 17:06:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536592.0,4.0,141.84,
2020-12-01 17:06:00,,Milk-Bone Marosnacks Dog Treats With Real Bone,22386,,1.0,25.26,25.26
2020-12-01 17:06:00,,Pet Grooming Brush,20725,536592.0,1.0,25.26,25.26
2020-12-01 17:06:00,,Pet Odor Eliminator,84879,536592.0,2.0,38.28,19.14
2020-12-01 17:06:00,,Probiotic Supplements For Dogs,,536592.0,1.0,61.02,61.02
2020-12-01 17:06:00,,Sheba Perfect Portions Pat Wet Cat Food,22197,536592.0,6.0,59.76,9.96
2020-12-01 17:06:00,,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536592.0,8.0,610.56,76.32
2020-12-01 17:24:00,13576,Canned Cat Food,21137,536595.0,10.0,203.4,20.34
2020-12-01 17:29:00,,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536596.0,1.0,23.7,23.7
2020-12-01 17:35:00,18011,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536597.0,1.0,17.7,17.7
2020-12-01 17:35:00,,Sheba Perfect Portions Pat Wet Cat Food,22197,536597.0,1.0,5.1,5.1
2020-12-02 08:32:00,17850,Dog And Puppy Pads,85123A,536600.0,1.0,15.3,15.3
2020-12-02 08:34:00,17850,Dog And Puppy Pads,85123A,536602.0,1.0,15.3,15.3
2020-12-02 09:29:00,17732,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,,536607.0,1.0,23.7,23.7
2020-12-02 09:29:00,17732,Dog And Puppy Pads,85123A,536607.0,1.0,17.7,17.7
,17732,Earth Rated Dog Poop Bags,85099B,536607.0,2.0,23.4,11.7
2020-12-02 09:29:00,17732,Milk-Bone Marosnacks Dog Treats With Real Bone,22386,536607.0,2.0,23.4,11.7
2020-12-02 09:29:00,17732,Pet Odor Eliminator,84879,536607.0,2.0,20.28,10.14
2020-12-02 09:29:00,17732,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536607.0,1.0,76.5,76.5
2020-12-02 09:41:00,17850,Dog And Puppy Pads,85123A,536609.0,1.0,15.3,15.3
,17850,Dog And Puppy Pads,85123A,536612.0,,15.3,15.3
2020-12-02 10:10:00,17925,Canned Cat Food,21137,536616.0,,244.08,20.34
2020-12-02 10:17:00,13941,Probiotic Supplements For Dogs,79321,536617.0,4.0,,25.5
2020-12-02 10:17:00,17017,Sheba Perfect Portions Pat Wet Cat Food,22197,536618.0,8.0,40.8,5.1
2020-12-02 10:18:00,17017,Rechargeable Pet Nail Grinder,22960,536619.0,2.0,45.0,22.5
2020-12-02 10:53:00,15658,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536627.0,,76.5,76.5
2020-12-02 10:54:00,17850,Dog And Puppy Pads,85123A,536628.0,1.0,15.3,15.3
2020-12-02 10:56:00,17850,Dog And Puppy Pads,85123A,536630.0,1.0,15.3,15.3
2020-12-02 11:02:00,14388,Earth Rated Dog Poop Bags,85099B,,2.0,23.4,
2020-12-02 11:02:00,14388,,,536632.0,2.0,23.4,11.7
2020-12-02 11:20:00,14901,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536633.0,2.0,35.4,17.7
2020-12-02 11:20:00,14901,Rechargeable Pet Nail Grinder,22960,536633.0,1.0,25.5,25.5
2020-12-02 11:22:00,15955,Indoor Pet Camera (Wi-Fi),22502,536635.0,2.0,71.4,35.7
2020-12-02 11:23:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536636.0,6.0,106.2,17.7
2020-12-02 11:35:00,18041,Rechargeable Pet Nail Grinder,22960,536637.0,1.0,25.5,25.5
2020-12-02 11:35:00,18041,Sheba Perfect Portions Pat Wet Cat Food,22197,536637.0,,5.1,5.1
2020-12-02 11:41:00,16244,Indoor Pet Camera (Wi-Fi),22502,536638.0,1.0,35.7,35.7
2020-12-02 11:57:00,14390,Earth Rated Dog Poop Bags,85099B,536643.0,1.0,11.7,11.7
2020-12-02 12:09:00,15260,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536667.0,2.0,35.4,17.7
2020-12-02 12:09:00,15260,Probiotic Supplements For Dogs,79321,536667.0,1.0,29.7,29.7
2020-12-02 12:09:00,15260,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536667.0,1.0,76.5,76.5
2020-12-02 12:22:00,17287,,84879,536681.0,2.0,20.28,10.14
2020-12-02 12:22:00,17287,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536681.0,1.0,76.5,76.5
2020-12-02 12:23:00,17850,Dog And Puppy Pads,85123A,536685.0,2.0,30.6,15.3
2020-12-02 12:25:00,17850,,85123A,536690.0,1.0,15.3,15.3
2020-12-02 12:33:00,12915,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536707.0,1.0,76.5,76.5
2020-12-02 12:47:00,15544,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536732.0,1.0,17.7,17.7
2020-12-02 12:47:00,15544,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,,1.0,76.5,
2020-12-02 13:11:00,13117,Pet Odor Eliminator,84879,536741.0,2.0,20.28,10.14
2020-12-02 13:14:00,16916,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536742.0,1.0,17.7,17.7
2020-12-02 13:36:00,14466,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,,536744.0,1.0,76.5,76.5
2020-12-02 13:49:00,17976,Dog And Puppy Pads,85123A,536749.0,1.0,17.7,17.7
,17976,Pet Odor Eliminator,84879,536749.0,1.0,10.14,10.14
2020-12-02 14:04:00,17850,Dog And Puppy Pads,85123A,,2.0,30.6,15.3
2020-12-02 14:06:00,17850,Dog And Puppy Pads,85123A,536752.0,,15.3,15.3
,14449,Canned Cat Food,21137,536754.0,1.0,22.5,22.5
2020-12-02 14:23:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536756.0,1.0,17.7,17.7
2020-12-02 14:26:00,16781,Nexgard Chew For Dogs,82484,536759.0,1.0,38.7,38.7
2020-12-02 14:42:00,17685,Dog And Puppy Pads,85123A,536763.0,2.0,35.4,17.7
2020-12-02 14:42:00,17685,Probiotic Supplements For Dogs,79321,536763.0,4.0,102.0,25.5
2020-12-02 14:47:00,17581,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536769.0,3.0,53.1,17.7
2020-12-02 14:47:00,17581,,79321,536769.0,1.0,29.7,
2020-12-02 14:49:00,17581,Rechargeable Pet Nail Grinder,22960,536771.0,1.0,25.5,25.5
2020-12-02 15:00:00,15732,Earth Rated Dog Poop Bags,85099B,536777.0,4.0,46.8,11.7
2020-12-02 15:09:00,,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536780.0,1.0,23.7,23.7
2020-12-02 15:18:00,17567,Sheba Perfect Portions Pat Wet Cat Food,22197,536782.0,2.0,10.2,5.1
2020-12-02 15:22:00,15061,Pet Odor Eliminator,84879,536785.0,54.0,469.8,8.7
2020-12-02 15:22:00,15061,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,,536785.0,24.0,1576.8,65.7
2020-12-02 15:24:00,17850,Dog And Puppy Pads,85123A,536787.0,1.0,15.3,15.3
2020-12-02 15:26:00,17850,Dog And Puppy Pads,85123A,536790.0,2.0,35.4,
2020-12-02 15:39:00,16203,Rechargeable Pet Nail Grinder,22960,536793.0,1.0,25.5,25.5
2020-12-02 15:40:00,13767,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536794.0,2.0,47.4,23.7
2020-12-02 15:40:00,15640,Dog And Puppy Pads,85123A,536795.0,6.0,91.8,15.3
2020-12-02 15:40:00,15640,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536795.0,7.0,107.1,15.3
2020-12-02 15:46:00,15574,Pet Odor Eliminator,84879,,1.0,10.14,10.14
2020-12-02 16:00:00,17228,Earth Rated Dog Poop Bags,85099B,536799.0,1.0,,11.7
2020-12-02 16:00:00,17228,Milk-Bone Marosnacks Dog Treats With Real Bone,22386,536799.0,1.0,11.7,11.7
2020-12-02 16:12:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536801.0,1.0,17.7,17.7
2020-12-02 16:12:00,14829,Rechargeable Pet Nail Grinder,22960,536800.0,1.0,25.5,25.5
2020-12-02 16:34:00,14031,Pet Odor Eliminator,84879,536804.0,8.0,81.12,10.14
2020-12-02 16:34:00,14031,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536804.0,3.0,197.1,65.7
,17659,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,,1.0,,76.5
2020-12-02 16:59:00,15646,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536813.0,1.0,17.7,17.7
2020-12-02 17:17:00,17757,Indoor Pet Camera (Wi-Fi),22502,536821.0,1.0,35.7,35.7
2020-12-02 17:17:00,17757,Sheba Perfect Portions Pat Wet Cat Food,22197,536821.0,1.0,5.1,5.1
2020-12-02 17:27:00,15384,Sheba Perfect Portions Pat Wet Cat Food,22197,,0.0,0.0,5.1
2020-12-02 17:48:00,18239,Dog And Puppy Pads,85123A,536833.0,1.0,17.7,17.7
2020-12-02 18:08:00,18168,Sheba Perfect Portions Pat Wet Cat Food,22197,536836.0,1.0,5.1,5.1
2020-12-02 18:15:00,14395,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536837.0,1.0,,23.7
2020-12-02 18:15:00,14395,Dog And Puppy Pads,85123A,536837.0,1.0,,17.7
2020-12-02 18:25:00,15093,Pet Odor Eliminator,84879,536839.0,16.0,162.24,10.14
2020-12-02 18:27:00,16150,Pet Odor Eliminator,84879,536841.0,2.0,20.28,10.14
2020-12-02 18:45:00,17552,Indoor Pet Camera (Wi-Fi),22502,536842.0,1.0,35.7,35.7
2020-12-02 18:49:00,14236,Indoor Pet Camera (Wi-Fi),,536844.0,6.0,178.2,29.7
2020-12-02 19:18:00,17961,Pet Grooming Brush,20725,536845.0,1.0,9.9,9.9
2020-12-02 19:59:00,14573,Indoor Pet Camera (Wi-Fi),22502,536846.0,1.0,35.7,35.7
2020-12-02 19:59:00,14573,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536846.0,1.0,76.5,76.5
2020-12-03 10:26:00,13370,Rechargeable Pet Nail Grinder,22960,536856.0,1.0,25.5,25.5
2020-12-03 10:26:00,13370,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536856.0,1.0,76.5,76.5
2020-12-03 10:33:00,16883,Dog And Puppy Pads,85123A,536857.0,1.0,17.7,17.7
2020-12-03 10:43:00,12841,Dog And Puppy Pads,85123A,536859.0,1.0,17.7,17.7
2020-12-03 10:43:00,12841,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536859.0,1.0,17.7,17.7
2020-12-03 10:43:00,12841,Probiotic Supplements For Dogs,79321,536859.0,1.0,29.7,29.7
2020-12-03 11:13:00,,Earth Rated Dog Poop Bags,85099B,536862.0,1.0,25.26,25.26
2020-12-03 11:13:00,,Indoor Pet Camera (Wi-Fi),22502,536862.0,1.0,50.82,50.82
2020-12-03 11:13:00,,Milk-Bone Marosnacks Dog Treats With Real Bone,22386,536862.0,1.0,30.36,30.36
2020-12-03 11:13:00,,Pet Grooming Brush,20725,536862.0,1.0,30.36,
2020-12-03 11:13:00,,Sheba Perfect Portions Pat Wet Cat Food,22197,536862.0,2.0,19.92,9.96
2020-12-03 11:13:00,,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536862.0,1.0,152.94,152.94
2020-12-03 11:19:00,17967,Dog And Puppy Pads,85123A,536863.0,1.0,17.7,17.7
2020-12-03 11:19:00,,,20725,536863.0,1.0,,9.9
2020-12-03 11:19:00,17967,Rechargeable Pet Nail Grinder,,536863.0,1.0,25.5,25.5
2020-12-03 11:27:00,,Earth Rated Dog Poop Bags,85099B,536864.0,1.0,25.26,25.26
2020-12-03 11:27:00,,Indoor Pet Camera (Wi-Fi),22502,536864.0,1.0,50.82,50.82
2020-12-03 11:27:00,,"Memory Foam Pet Beds For Small, Medium, And Large Dogs And Cats",47566,536864.0,1.0,55.92,55.92
2020-12-03 11:27:00,,Nexgard Chew For Dogs,82484,536864.0,1.0,81.42,81.42
2020-12-03 11:27:00,,Pet Grooming Brush,20725,536864.0,1.0,30.36,30.36
2020-12-03 11:28:00,,Earth Rated Dog Poop Bags,85099B,,1.0,25.26,25.26
2020-12-03 11:28:00,,Indoor Pet Camera (Wi-Fi),22502,536865.0,1.0,50.82,50.82
2020-12-03 11:28:00,,"Memory Foam Pet Beds For Small, Medium, And Large Dogs And Cats",47566,536865.0,1.0,55.92,55.92
2020-12-03 11:28:00,,,22386,536865.0,1.0,30.36,30.36
2020-12-03 11:28:00,,Pet Grooming Brush,20725,536865.0,1.0,30.36,30.36
2020-12-03 11:28:00,,Rechargeable Pet Nail Grinder,22960,536865.0,1.0,50.82,50.82
2020-12-03 11:28:00,,Sheba Perfect Portions Pat Wet Cat Food,,536865.0,3.0,29.88,9.96
2020-12-03 11:35:00,16891,Earth Rated Dog Poop Bags,85099B,536874.0,1.0,11.7,11.7
2020-12-03 11:35:00,16891,Rechargeable Pet Nail Grinder,22960,536874.0,1.0,25.5,25.5
2020-12-03 11:36:00,,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536876.0,1.0,50.82,50.82
2020-12-03 11:36:00,,Dog And Puppy Pads,85123A,,1.0,35.46,35.46
2020-12-03 11:36:00,,Earth Rated Dog Poop Bags,85099B,536876.0,,25.26,25.26
2020-12-03 11:36:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536876.0,1.0,,17.7
2020-12-03 11:36:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536876.0,,177.3,35.46
2020-12-03 11:36:00,,"Memory Foam Pet Beds For Small, Medium, And Large Dogs And Cats",47566,536876.0,1.0,50.82,50.82
2020-12-03 11:36:00,,Nexgard Chew For Dogs,82484,536876.0,1.0,81.42,81.42
2020-12-03 11:36:00,,Pet Grooming Brush,20725,536876.0,,25.26,25.26
2020-12-03 11:36:00,,Pet Odor Eliminator,84879,536876.0,2.0,20.28,10.14
2020-12-03 11:36:00,,Pet Odor Eliminator,84879,536876.0,2.0,38.28,19.14
2020-12-03 11:36:00,,Rechargeable Pet Nail Grinder,22960,536876.0,1.0,50.82,50.82
2020-12-03 11:36:00,,Sheba Perfect Portions Pat Wet Cat Food,22197,536876.0,,39.84,9.96
2020-12-03 12:05:00,14680,Milk-Bone Marosnacks Dog Treats With Real Bone,22386,536938.0,4.0,46.8,11.7
2020-12-03 12:05:00,14680,Probiotic Supplements For Dogs,79321,536938.0,12.0,306.0,25.5
2020-12-03 12:11:00,17884,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536943.0,1.0,17.7,17.7
2020-12-03 12:11:00,17884,Pet Odor Eliminator,84879,536943.0,,20.28,10.14
2020-12-03 12:20:00,12557,Pet Grooming Brush,20725,536944.0,12.0,118.8,9.9
2020-12-03 12:28:00,13013,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536946.0,2.0,35.4,17.7
2020-12-03 12:28:00,13013,Pet Odor Eliminator,84879,536946.0,3.0,30.42,10.14
2020-12-03 12:29:00,13013,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536947.0,1.0,76.5,76.5
2020-12-03 12:43:00,14210,"Memory Foam Pet Beds For Small, Medium, And Large Dogs And Cats",47566,536956.0,1.0,27.9,
2020-12-03 12:43:00,14210,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536956.0,1.0,76.5,76.5
2020-12-03 12:48:00,16477,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536960.0,1.0,23.7,23.7
2020-12-03 12:48:00,16477,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,,1.0,17.7,17.7
2020-12-03 12:57:00,12600,Earth Rated Dog Poop Bags,85099B,536967.0,5.0,58.5,11.7
2020-12-03 13:09:00,16013,Probiotic Supplements For Dogs,79321,536968.0,8.0,204.0,25.5
2020-12-03 13:12:00,17949,,22423,536970.0,,1314.0,65.7
2020-12-03 13:59:00,,Pet Grooming Brush,20725,536974.0,2.0,19.8,9.9
